"istart","istop","cstart","cstop","tstart","tstop","ed_rec","ed_rec_err","ampl_rec","dur","total_n_valid_data_points","ID","qcs","tstamp","dur_detrend","real"
256,260,209001,209005,1517.73946779546,1517.7450233701,6699.6669725595,135.503330793161,32.6457424454909,0.005555574644404,13404,926898,8,"01_12_2021_16_56_51",16.493117965,0
405,413,209151,209159,1517.94780184275,1517.95891299111,23211.8537800361,320.283850986445,47.9499217301501,0.011111148357031,13404,926898,8,"01_12_2021_16_56_51",16.493117965,0
13381,13384,226448,226451,1541.97097611546,1541.97514260762,29151.8362985631,76.8507689105416,230.437148585405,0.004166492156855,13404,926898,8,"01_12_2021_16_56_51",16.493117965,0
,,,,,,,,,,16836,926898,34,"01_12_2021_16_56_47",12.603126876,
,,,,,,,,,,16354,926898,7,"01_12_2021_16_56_52",12.828881074,
13523,13530,243013,243020,1564.97888907093,1564.98861117647,55.6961789472116,3.92826844334818,0.124217186100241,0.009722105537776,16035,1539914,9,"01_12_2021_16_58_28",19.68048916,1
2724,2738,230798,230812,1548.01358400935,1548.03302879366,152.094714281757,5.25968952234912,0.224345077032255,0.019444784304824,16035,1539914,9,"01_12_2021_16_58_28",19.68048916,1
,,,,,,,,,,15097,1539914,36,"01_12_2021_16_58_29",12.682049038,
1247,1252,248546,248551,1572.66378789984,1572.67073246937,33.0238517771053,2.28586209599204,0.097612715060306,0.006944569532607,15734,2470992,10,"01_12_2021_16_59_24",17.8028884,1
10142,10149,259509,259516,1587.89023750231,1587.89995965521,91.330192955364,2.34642708370787,0.286522870300304,0.009722152897211,15734,2470992,10,"01_12_2021_16_59_24",17.8028884,1
10455,10477,259822,259844,1588.32495648176,1588.35551179894,533.53379473227,4.18228860817869,1.07505861359888,0.030555317187918,15734,2470992,10,"01_12_2021_16_59_24",17.8028884,1
7921,7925,257279,257283,1584.7930317529,1584.79858728561,33.1028019733078,2.99795720784315,0.07740073344546,0.005555532704875,15734,2470992,10,"01_12_2021_16_59_24",17.8028884,0
,,,,,,,,,,15516,2470992,37,"01_12_2021_16_59_24",13.964210807,
6538,6542,470288,470292,1880.63862556753,1880.64418103457,3.6903890193328,0.386418762145164,0.008573272135425,0.005555467031172,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
2512,2516,466230,466234,1875.00256597142,1875.00812151203,3.01598643640149,0.385876325195692,0.008929248274278,0.005555540607475,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
12099,12106,478051,478058,1891.4203224592,1891.43004437406,5.9957284251962,0.587395439140369,0.009661800871775,0.009721914859483,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
7716,7723,471467,471474,1882.27609579733,1882.28581781888,8.35944003874263,0.653929343913075,0.011964895809042,0.009722021555262,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
14680,14687,480656,480663,1895.03824892596,1895.04797075979,6.5644974918846,0.47757322162997,0.012023592313213,0.009721833835101,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
11696,11703,477644,477651,1890.85506220264,1890.86478412914,5.75943459368639,0.411421690180256,0.012898682955804,0.009721926501697,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
11233,11239,477180,477186,1890.21063688163,1890.2189699734,5.75135894249381,0.556262267848465,0.013108486718572,0.008333091765508,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
2045,2052,465762,465769,1874.35256722917,1874.36228943978,7.11720566905019,0.397113713592311,0.01922709919796,0.009722210613063,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
1639,1645,465356,465362,1873.7886786513,1873.79701198526,5.83427830542004,0.426413108826695,0.020575442530197,0.008333333959854,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
2969,2977,466687,466695,1875.63728604044,1875.64839710582,12.1152073672316,0.504533984826917,0.030147774679961,0.011111065380192,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
11899,11905,477850,477856,1891.14116453301,1891.14949760755,10.9340296288044,0.392253517078208,0.030496132414492,0.00833307453604,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
4411,4422,468157,468168,1877.67893959352,1877.69421723718,20.1419129058054,0.452806208034195,0.058837931828254,0.015277643653008,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
11454,11468,477401,477416,1890.51757233048,1890.53840504615,78.8595566387666,0.515570415073918,0.227101025063509,0.020832715678353,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
4801,4844,468549,468592,1878.22337893336,1878.28310055402,113.113309772257,0.643228060911976,0.235695250382297,0.059721620655637,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
2592,2613,466310,466331,1875.11367677145,1875.1428433516,203.912988978068,0.343534597555667,0.787709708731525,0.029166580152378,16645,3664898,21,"01_12_2021_17_02_11",19.64800523,1
4830,4835,764202,764207,2288.8519439136,2288.85888852816,20.3039915816967,2.3245144500001,0.046607689261216,0.00694461456078,15441,5630425,36,"01_12_2021_16_59_03",14.824734718,1
15281,15289,265018,265026,1595.54090592152,1595.55201658553,37.4724154607377,3.07529002926058,0.058334399190374,0.011110664010175,15384,5630425,10,"01_12_2021_16_59_03",16.699279439,0
,,,,,,,,,,14938,7150628,29,"01_12_2021_16_49_40",15.91712671,
,,,,,,,,,,18292,7150628,2,"01_12_2021_16_49_40",22.610250873,
8416,8419,221471,221474,1535.05922308439,1535.06338966363,25.130243584888,3.28098588114609,0.080056528662885,0.004166579235971,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,1
7834,7864,729029,729059,2240.00061229394,2240.0422795813,243.879594745452,10.0839178615897,0.118427534531688,0.041667287366181,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
5211,5215,726406,726410,2236.35748236921,2236.36303806384,41.3741312235318,2.96240265832618,0.155778045429238,0.005555694629493,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
435,440,721622,721627,2229.71282396543,2229.71976867964,52.6724286922744,3.47442314167334,0.185901117558242,0.006944714213205,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
4985,4992,213756,213763,1524.34409936874,1524.35382154078,90.9432046246514,3.46825655374416,0.236300163195346,0.009722172041847,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,1
10478,10483,223541,223546,1537.93415377223,1537.9410980261,86.9369992769973,3.42999940317272,0.317827292112085,0.006944253867687,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,1
7392,7406,216170,216184,1527.69684564587,1527.71628981486,297.972278324934,4.85203054923274,0.396706242317293,0.019444168992777,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,1
13288,13300,735619,735631,2249.1535005346,2249.17016727716,213.606384615456,5.89216286720345,0.456648619264768,0.016666742557391,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
12415,12424,734739,734748,2247.93127103507,2247.94377112634,235.843115718233,4.09053237016902,0.762827747703192,0.012500091261245,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
12041,12055,734359,734374,2247.40348907819,2247.42432258846,436.963434144328,5.32175856262318,1.27298972083675,0.020833510271132,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
12625,12636,734956,734967,2248.23266203165,2248.24793991109,747.209470409291,3.25482263144599,3.50311043980355,0.015277879437235,16810,7975441,34,"01_12_2021_16_57_17",22.932260577,1
20,27,208770,208777,1517.41908068446,1517.42880298735,73.7899877820451,2.83577278757376,0.154676332995989,0.009722302891987,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,0
97,103,208847,208853,1517.52602603769,1517.53435944343,75.1875422393893,5.30393372849252,0.172637370402454,0.008333405737858,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,0
32,49,208782,208799,1517.43574748942,1517.45935879923,165.490040262561,4.92373052949002,0.183199028817574,0.02361130981808,13399,7975441,8,"01_12_2021_16_57_17",16.122443254,0
11641,11645,475751,475755,1888.2254264389,1888.23098206981,119.649146342966,9.48835042572109,0.425114480977031,0.005555630911886,18479,8259901,21,"01_12_2021_17_02_43",20.293329475,1
1493,1498,464527,464534,1872.63617186812,1872.64589444428,537.527474405776,15.4564641712191,1.736249730338,0.009722576157856,18479,8259901,21,"01_12_2021_17_02_43",20.293329475,1
11640,11644,475751,475755,1888.22542662376,1888.23098225467,32.2638360675888,2.42424258629521,0.132709434765592,0.005555630911886,18478,8259902,21,"01_12_2021_17_02_40",18.440216747,1
1493,1497,464527,464532,1872.63617211166,1872.64311680878,111.158854687291,3.9277749285504,0.360813075405726,0.00694469712198,18478,8259902,21,"01_12_2021_17_02_40",18.440216747,1
13056,13067,458252,458263,1863.92182038822,1863.93709795288,74.8724535309903,5.0185976859723,0.094461734199865,0.015277564659527,16547,9882031,20,"01_12_2021_17_01_49",16.845243617,1
48,54,442896,442902,1842.59392800876,1842.60226157052,37.2019835418505,3.28882484381655,0.10554364341319,0.008333561760537,16547,9882031,20,"01_12_2021_17_01_49",16.845243617,1
2684,2691,445577,445584,1846.31762294503,1846.32734534202,45.1958830017516,2.58453474134826,0.108222407854955,0.009722396984444,16547,9882031,20,"01_12_2021_17_01_49",16.845243617,1
10317,10340,455490,455514,1860.08574632676,1860.11907948043,219.007933427622,5.33257615892749,0.195184856838998,0.033333153668991,16547,9882031,20,"01_12_2021_17_01_49",16.845243617,1
12271,12277,225332,225338,1540.42009973303,1540.42843293783,7.94340323710274,0.958039250106375,0.01405657178221,0.008333204805695,13410,11654435,8,"01_12_2021_16_57_01",17.203118912,0
69,74,208808,208813,1517.47009382255,1517.4770383635,11.846935531549,1.0585358099125,0.037713835535741,0.006944540949462,13410,11654435,8,"01_12_2021_16_57_01",17.203118912,0
,,,,,,,,,,16909,11654435,34,"01_12_2021_16_57_01",13.929311996,
,,,,,,,,,,13601,11654435,35,"01_12_2021_16_57_04",11.49692972,
,,,,,,,,,,14036,11893637,22,"01_12_2021_17_02_51",14.268872199,
414,421,387229,387238,1765.27872636997,1765.29122659924,78.6383638438683,4.95510699119869,0.137486091850797,0.012500229268198,12728,15652493,17,"01_12_2021_17_00_57",21.725310119,1
6945,6955,397602,397612,1779.68573290168,1779.6996216807,104.005708784242,3.65027215149618,0.202357192639796,0.013888779019908,12728,15652493,17,"01_12_2021_17_00_57",21.725310119,1
12515,12533,403209,403227,1787.47311154102,1787.49811099932,452.568216135314,4.08422962822921,0.972913708408762,0.024999458300044,12728,15652493,17,"01_12_2021_17_00_57",21.725310119,1
4334,4342,488738,488746,1906.2629343974,1906.27404549167,51.3810324754857,2.98050621806584,0.098552841796499,0.011111094273474,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,1
3822,3834,488202,488216,1905.51849057215,1905.53793501251,119.254835148914,4.67525386371294,0.160732183328491,0.019444440355528,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,1
14140,14146,500554,500560,1922.67380483296,1922.68213794994,52.1071613071994,2.03015220572776,0.186272962519852,0.008333116977383,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,1
14725,14748,501141,501164,1923.48906085987,1923.52100442644,260.00633373374,3.56521510868564,0.321360820340002,0.031943566572409,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,1
4281,4325,488685,488729,1906.18932338981,1906.25043441529,867.815784610183,4.81278334870843,1.27635265184862,0.061111025484934,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,1
4348,4352,488752,488756,1906.28237881261,1906.28793435975,16.5110297172526,2.15657790600159,0.042654757407311,0.005555547136282,16888,17970570,22,"01_12_2021_17_02_48",23.836409313,0
7958,7964,492375,492381,1911.31390811617,1911.32224148554,22.1926458605733,2.89719936234921,0.038670683618602,0.008333369365573,16896,18069841,22,"01_12_2021_17_02_59",20.412011691,1
11222,11229,497612,497619,1918.58751692055,1918.59723911441,75.1258046135837,3.22143341552592,0.187090087369088,0.009722193868129,16896,18069841,22,"01_12_2021_17_02_59",20.412011691,1
2777,2822,487133,487178,1904.03327010712,1904.09577115852,1067.18734757149,2.36626138931406,0.752620833541651,0.062501051393156,16896,18069841,22,"01_12_2021_17_02_59",20.412011691,1
8140,8143,517089,517092,1945.63763415142,1945.64180085633,13.4545285795717,2.00621262393144,0.040283586417324,0.004166704908812,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
12753,12759,542450,542456,1980.86097948531,1980.86931263612,30.3645829105817,3.22948101000584,0.071987268396951,0.008333150809449,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
8451,8457,517401,517407,1946.07097141798,1946.07930482617,29.779182755691,2.13217886185893,0.074303427018074,0.008333408188491,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
8385,8388,538036,538039,1974.73054572601,1974.73471231725,20.073650310505,2.82848490360769,0.078101986444969,0.004166591236981,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
14116,14124,523125,523133,1954.02102285816,1954.03213400218,51.5733597334037,2.42928403002226,0.093612736735989,0.01111114401715,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
184,187,505885,505888,1930.07626265657,1930.08042941852,26.0825397496329,1.92974148229058,0.109450202158476,0.004166761953911,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
50,56,524459,524465,1955.87379267962,1955.88212596105,46.5454058008544,2.63328542618539,0.120257663478104,0.008333281429941,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
7553,7565,516499,516511,1944.81818209341,1944.83484891677,95.5501820774562,3.09539944842282,0.122868261501891,0.016666823362584,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
1086,1102,506813,506829,1931.36518099165,1931.38740371857,93.3797930007709,3.43118986231097,0.129128726139657,0.022222726924156,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
5409,5423,511810,511824,1938.30560347167,1938.32504827394,102.286953406119,3.19280400037804,0.140476389174919,0.019444802268026,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
12350,12354,542042,542046,1980.29432509104,1980.29988052747,37.5498657383552,1.73980930143626,0.151132925180343,0.005555436434179,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
12875,12880,521881,521886,1952.29323804368,1952.30018252237,65.6994401842592,1.90325522998499,0.222461992951156,0.00694447868932,14728,20204780,23,"01_12_2021_17_04_07",21.255236559,1
7783,7830,534941,534988,1970.43201020585,1970.49728680555,739.169840622374,3.27954036624656,0.561159451855712,0.065276599699928,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
3565,3644,529981,530061,1963.54319828154,1963.65430865006,3466.41997777409,4.0506389725052,3.02571141780375,0.111110368517075,13767,20204780,24,"01_12_2021_17_04_05",16.291404993,1
6343,6347,512762,512766,1939.62781305425,1939.63336872754,10.1983880595527,1.49543767810099,0.025401128434754,0.005555673290473,14701,20305594,23,"01_12_2021_17_04_09",16.050938224,1
5668,5680,532106,532118,1966.49463838865,1966.51130497596,50.0279761282617,2.9120986185572,0.055753827285137,0.016666587302552,13789,20305594,24,"01_12_2021_17_04_07",15.536543706,1
7127,7137,513574,513585,1940.75561329663,1940.77089134812,45.6570785340488,3.13473832998731,0.057287301305108,0.015278051489986,14701,20305594,23,"01_12_2021_17_04_09",16.050938224,1
4496,4505,510912,510921,1937.05831072349,1937.0708110182,36.4860976771945,2.13604766184019,0.077855959523071,0.012500294706797,14701,20305594,23,"01_12_2021_17_04_09",16.050938224,1
2057,2063,528435,528441,1961.3960422279,1961.40437555031,33.9031819957607,1.71630008605273,0.083125434035537,0.00833332240677,13789,20305594,24,"01_12_2021_17_04_07",15.536543706,1
