sample_ID,min_flares,max_flares,min_rot,max_rot,max_rot_err,mean,mean_err,std,std_err,n_stars,n_flares
all_fast,5.0,30.0,0.2460000067949295,9.77400016784668,0.05,0.08165572130308361,0.04508981321198447,0.09885420997299958,0.056664089277249606,47.0,580.0
5_10_fast,5.0,30.0,5.03000020980835,9.77400016784668,0.05,0.09437324075530769,0.045414636525883546,0.11724018372875432,0.056144722813124825,18.0,176.0
l5_fast,5.0,30.0,0.2460000067949295,4.956999778747559,0.05,0.07376208853963419,0.04303658190818638,0.08744222626253108,0.05391781584307183,29.0,404.0
geq10_slow,5.0,30.0,10.059000015258789,40.04499816894531,0.05,0.12230147745913131,0.036485144545974374,0.10343356151616905,0.037322556704884755,14.0,102.0
