istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
1820,1828,5.717698629533424,5.742831370762143,7.192977875329491e-07,2.4563845174418323e-09,1.2420791062339731e-09,0.025132741228718558,2000.0,14.16383723065165,65.94843720047449,3,6.0,6.0,13.0,-2.3799072643246966,-1.8827534967683683,-1.8877341526167883,115.43029620658284,274.00772768922207,125.59960249454842
istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,midlat_deg,inclination_deg,n_spots,beta_1,beta_2,beta_3,alpha_1,alphaa_2,alpha_3,lons_1,lons_2,lons_3
15,23,0.0471238898038469,0.07225663103256524,1.1301164645119279e-06,1.9969092414810808e-09,2.7184445805517043e-09,0.025132741228718343,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
29,39,0.09110618695410401,0.12252211349000194,2.0376093790736957e-06,2.5493930724129684e-09,3.5482601301595196e-09,0.031415926535897934,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
76,84,0.2387610416728243,0.26389378290154264,6.414357049789177e-07,2.084898437546689e-09,1.457087339673535e-09,0.025132741228718336,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
131,139,0.41154863762026295,0.4366813788489813,1.12531514621417e-06,2.1730360415188243e-09,2.4205424331569247e-09,0.025132741228718336,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
166,173,0.5215043804959056,0.5434955290710343,5.423336216222196e-07,2.3501351262277193e-09,1.0102072511841698e-09,0.021991148575128627,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
266,285,0.8356636458548851,0.8953539062730911,0.00016641521999358249,2.4862987295316507e-09,2.850756284367151e-07,0.05969026041820602,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
290,308,0.9110618695410401,0.9676105373056564,8.364180956843721e-05,2.1714857379755015e-09,1.8121571510043566e-07,0.05654866776461631,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
460,468,1.4451326206513049,1.4702653618800232,6.463609994229249e-07,2.7020605553248154e-09,1.0124630023256032e-09,0.025132741228718336,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
501,523,1.5739379194484864,1.643052957827462,0.0003207782501481252,2.360953685637328e-09,6.189088048724756e-07,0.06911503837897559,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
664,674,2.0860175219836226,2.1174334485195208,1.5011115563395295e-06,2.1043957565122037e-09,3.386222413581663e-09,0.0314159265358982,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
824,836,2.5886723465579897,2.626371458401067,9.63755061677463e-07,3.5212907765850164e-09,9.950771318045781e-10,0.03769911184307739,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
847,857,2.660928977590555,2.6923449041264527,1.7774893431372879e-06,2.61555556951104e-09,2.920359065683442e-09,0.031415926535897754,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
894,926,2.8085838323092753,2.9091147972241487,0.00011198808817749204,2.399895453405256e-09,2.1187676302325542e-07,0.10053096491487334,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1018,1024,3.1981413213544094,3.2169908772759483,4.692187948462598e-07,2.1096947814412627e-09,1.0353766732862368e-09,0.01884955592153892,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
1052,1058,3.3049554715764624,3.3238050274980013,3.07864774696465e-07,2.228508591996542e-09,6.391680518191833e-10,0.01884955592153892,2000.0,77.26322944813131,-43.97436692083763,3,16.0,14.0,2.0,-2.473976618661114,-1.5747554515229705,-2.458509189958828,152.90885299310796,119.93389665294767,236.53032796957046
