tstamp,nspots,hem,nflares,c,latitude,mean_of_wtd_means,mean_of_wtd_stds,std_of_wtd_means,std__of_wtd_stds
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,10,0.040497447155739254,0.08100133980478492,0.0008353793395994949,0.003024132701133802
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,15,0.039796633346097066,0.07797256539648154,0.0011579670253233337,0.003971452295482629
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,20,0.038757769845972574,0.07382349071204264,0.0009021198135986895,0.003552997351530902
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,25,0.03817642763543585,0.07155692400946599,0.0007925613810612264,0.0033759578891171026
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,30,0.037400221595493624,0.06822024040421895,0.0011889786745079112,0.004527545615578314
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,35,0.03654392054449029,0.0647186553390007,0.001055459685335987,0.004626987984004056
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,40,0.03581415969877329,0.060782882332230434,0.000772172864517004,0.0037015318442287525
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,45,0.0350637730248606,0.05805170270018158,0.0008520741368394163,0.0036199690783464016
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,50,0.03497500038386289,0.05680542575747376,0.0009590270140116574,0.004894675545150637
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,55,0.03418497881784143,0.05270695239141191,0.0007940795384711243,0.003860016769185777
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,60,0.03336896193239894,0.04889869268942209,0.0007152502277091492,0.0044520940521747526
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,65,0.03284959343963029,0.04544794981390184,0.0005755468162370251,0.003387377933813172
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,70,0.03222383781595835,0.04111626280596942,0.0005791915248332815,0.00414986406164367
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,75,0.031628864633363396,0.03687012457509422,0.00065170534568267,0.004549134654573858
2022_03_30_20_21_2022_03_30_19_47,1,bi-hem.,40-60,#E69F00,80,0.031170976563921562,0.03285320663938055,0.0005210824589035658,0.00407865437377667
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,10,0.05636879102814539,0.09906045086408091,0.001225969057322437,0.0031023491106706097
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,15,0.05489006395230709,0.09489641163864614,0.0017107817849896887,0.004899212606559599
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,20,0.05429885992535839,0.09247045033159569,0.001536852401216692,0.004539384737026906
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,25,0.052547710090941294,0.0863768874872975,0.0015640410552241254,0.004416222048791823
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,30,0.051991668637867396,0.0839748810290374,0.001425108646519823,0.004010453894786274
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,35,0.05106385332665217,0.08091110566149529,0.0013740503877501511,0.003979683545661107
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,40,0.049575843968901794,0.07626501732917809,0.0012548431972130942,0.004285474458852363
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,45,0.04869815890887235,0.07212736581154917,0.0014577941263774295,0.005807737868044295
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,50,0.047671099236765824,0.06839035799871095,0.0012595159610739877,0.004548991358784828
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,55,0.047009474903796436,0.0642642471225138,0.0011257327417283547,0.004465081779972671
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,60,0.04654790122585866,0.062065075273289014,0.001233629813876398,0.004349307091701036
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,65,0.045229819193276816,0.05613643370770577,0.0009435977402435579,0.004497602215643752
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,70,0.04454815385449466,0.05253353685847023,0.0005613792450292409,0.0031723813226617282
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,75,0.04411841609631573,0.04924929293819748,0.0009471162873486948,0.004149302621721635
2022_03_29_10_44_2022_03_29_09_43,1,bi-hem.,20-40,#E69F00,80,0.043099769677400514,0.04354924164375916,0.0007120976796389121,0.003263804803121712
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,10,0.0693627708628892,0.11313325260175428,0.0020649760343512576,0.004626929735542615
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,15,0.06694876937711255,0.10553170034646173,0.0013969632296029753,0.00351270252831377
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,20,0.06574929932474476,0.10269900615355988,0.0014713101048493716,0.004561686495089967
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,25,0.06387969627492605,0.09664226538305078,0.00163293029905368,0.004535932439049988
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,30,0.06245140770645047,0.09198260818101454,0.0015701049850438246,0.0047827098542473035
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,35,0.06167669720284622,0.0883130230599005,0.0017092826690272695,0.004297093325046758
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,40,0.060492727413256966,0.08511494536303081,0.001545571951140681,0.00475632092912712
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,45,0.059598089190866795,0.08185069413788942,0.001441585103776802,0.004481696841349058
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,50,0.05855860132397603,0.07786936685519233,0.0013273268323294675,0.00415776005868356
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,55,0.057921401832224044,0.07465859442392381,0.001194668614307314,0.0038348310627812784
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,60,0.056795389521628936,0.07008865360371858,0.001207140670709332,0.004784795412729579
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,65,0.05610179914089711,0.06623599816887088,0.0013822211748318561,0.004215416173586789
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,70,0.05472641461462455,0.060797382660770755,0.0006828313236714897,0.003508445479191163
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,75,0.05422401579634876,0.05704349679072108,0.0009511892861847353,0.0033440834560730212
2022_03_30_20_42_2022_03_30_20_25,1,bi-hem.,17-28,#E69F00,80,0.05302510168937948,0.05096145767748491,0.0009695430708227714,0.003446424657278266
2022_03_24_15_52_2022_03_24_15_18,1,bi-hem.,10-20,#E69F00,10,0.09219988327161185,0.13369322980152282,0.0031381116367675322,0.005940269141717607
